id,text,target,keywords
,matumizi ya mwendopolepole hujirudia yenyewe kwenye sinema lakini imeungwa mkono na kaimu mbaya na mbaya ni neno fadhili hapa hakuna mwendelezo picha ambazo zimetupwa bila sababu yoyote magari ambayo yalionekana kama yalitengenezwa kutoka kwa sanduku la corn flakes na mtindo wa kuelekeza uliopakana na ujinga,hate,
,ah ndio na hadithi ilikuwa ya kusikitisha pia,hate,
,ninachukia kuandika hakiki mbaya juu ya filamu haswa zile ambazo napenda sana nyota lakini filamu hii ni mbaya siamini kwa sekunde moja kuwa mtu yeyote angeweza kujivunia,hate,
,mimi si mtengenezaji wa filamu wala sio mkurugenzi lakini ningekificha kichwa changu kwenye mchanga ikiwa ningetumia kiasi chochote cha pesa na wakati kwenye sinema hii,hate,
,kwa kifupi hii ilikuwa upotezaji wa muda na nguvu na singependekeza mtu yeyote kuona filamu hii,hate,
,ilikuja bure na kicheza dvd nilichonunua lakini bado nilibadilisha kitu hicho kwa sababu nilikuwa na aibu kwa howell,hate,
, na kwa sababu tu hakuna mpangilio wa negative,hate,
,lo filamu mbaya namna gani,hate,
,sio ya kutisha angalau na haieleweka wazi,hate,
,haifai hata kwa thamani ya kambi,hate,
,sikutarajia vifaa vya oscar lakini hii,hate,
,filamu hii na mimi hutumia neno hilo kwa upole ni tusi kwa umma unaokwenda sinema,hate,
,ikiwa tu mtu anayehusika nayo angelijua jinsi ya kujumuisha simulizi,hate,
,hii inapata  kati ya  kwa sababu tu hakuna kitu cha chini,hate,
,hii ni moja ambayo sikuwa nayo lakini niliitazama hivi majuzi kwenye channel ya sinema ya fox na nilisikitishwa sana,hate,
,victor mclaglen alikuwa mbaya hata na brian donlevy alikuwa haeleweki,hate,
,kitu kibaya zaidi kuliko uigizaji wa taylor ilikuwa kuimba kwa stanwyck,hate,
,hata squibs anaonekana mbaya,hate,
,mazungumzo yanaundwa na vitu ambavyo havielewi vizuri,hate,
,kwa kweli kaimu ni blah,hate,
,na mwishowe baada ya yote hayo tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio jerry falwell,hate,
,ni aina tu ya pap ambayo inapetiwa alasiri ili kuwaadhibu wasio na kazi kwa kukosa kazi,hate,
,karibu kama dakika kumi kwenye filamu hii nilianza kuwa na mawazo ya pili,hate,
,karibu nusu ya njia ya filamu hii nilianza kuichukia,hate,
,kufikia wakati filamu ilipoisha sikuichukia tu niliidharau pia,hate,
,ukadiriaji  daraja z kumbuka maonyesho ni mbaya kwamba hata mama wa mwigizaji akatoa binti yake kati ya show,hate,
,kuangalia mashine ya kuosha ikizunguka haitakuumiza macho yako kama vile onyesho hili,hate,
,neno la mwisho show hii ni mateso kwa kweli,hate,
,kila kitu juu yake ni mbaya tu,hate,
,hii labda ni onyesho la kukasirisha sana ambalo nimewahi kuona katika maisha yangu yote,hate,
,kile filamu hii inakosa ni maandishi ya kushawishi,hate,
,karne ya  ya foxs road house  sio tu hadithi ya kipumbavu lakini ni fumbo lisilofahamika la sinema,hate,
,imejaa wahusika wa kadi isiyo na kifahari iliyoandikwa wazi na edward chodorov ambaye pia alitengeneza na kwa kushangaza anaelekezwa na jean negulesco ambaye mtu angetegemea mpango mkubwa zaidi,hate,
,kuanzia hapa mhusika wa widmark anageuka mchesi bila kukusudia,hate,
,kuna shida nyingi sijui nianzie wapi,hate,
,lakini sinema hiyo inafanya makosa mengi sana,hate,
,chochote kilichochochea maandishi haya ni zaidi yangu,hate,
,kupoteza kwake marumaru mapema sana katika kesi hiyo haifurahishi,hate,
,kwanza kabisa kuna mitindo ya kichekesho ya kutosha na utani wa rangi ili kumkasirisha kila mtu,hate,
,tukiacha ubaguzi wa rangi wacha tuangalie upungufu mkubwa kwenye filamu wanaharibu mhusika wa latifah,hate,
,singependa kuona hii sinema tena hata bure,hate,
,mbaya sana mmmh ni mbaya tu,hate,
,hii inaweza kuwa ndiyo filamu mbaya tu ambayo amewahi kutengeneza,hate,
,sidhani kama kuna sifa zozote za ukombozi katika kumbukumbu hii,hate,
,nimesikitishwa sana kuwa filamu hii itapokea tuzo nyingi na sifa nyingi haswa ikiwa kuna kazi zinazofaa zaidi za filamu huko nje,hate,
,sinema hii ni mfano thabiti wa njama mbaya na wazo mbaya sana kila mahali,hate,
,ni aibu kuona watendaji wazuri kama thomerson na james wanaishi kwa fujo kama hii,hate,
,nakala ni fujo kubwa linalopotoka,hate,
,wacha tuanze na shida zote kaimu haswa kutoka kwa profesa mkuu alikuwa mbaya sana,hate,
,filamu zote mbili ni mbaya lakini kwa sifa ya toleo la  ilionekana,hate,
,nilidhani ilikuwa mbaya,hate,
,mkurugenzi paul matthews ambaye pia aliandika kuelekeza sinema dhaifu ya monster  grim wazi hajui jinsi ya kuongeza kasi filamu zake,hate,
,sinema inaudhi,hate,
,filamu inaonekana ya bei rahisi na isiyo na maana,hate,
,mojawapo ya mambo yanayokatisha tamaa zaidi ni ukosefu wa balaa kubwa,hate,
,athari za kuona zilikuwa mbaya,hate,
,mlipuko wa mizinga ya gesi mwishoni ulikuwa mbaya tu,hate,
,mkutano huu haujawahi kufanya kazi vizuri zamani na hakika haifanyi kazi hapa,hate,
,haipendekezwi,hate,
,haipendekezi,hate,
,ninaelewa kuwa inapaswa kuwa vichekesho cha bei nafuu cha popcorn lakini hiyo haimaanishi kuwa inabidi itukane akili zetu na kuandika maandishi mabaya sana kiasi kwamba inapakana na kukera,hate,
,kipaji kikubwa cha lewis black kinatoweka hapa pia kwa vile yeye ni mtangulizi wake wakati yeye hajazuiliwa ambayo rating ya pg hakika haitakubali,hate,
,bajeti ilikuwa dhahiri sana,hate,
,walakini hapa hakukuwa na kaimu bora kitendo au kazi ya eneo kusawazisha mambo,hate,
,filamu ilikuwa ndogo sana,hate,
,haikufaulu kufikisha jumla ya mandhari ambayo yalikuwa sehemu kubwa ya asili,hate,
,kwa jumla ilikosa tu mawazo,hate,
,sipendekezi,hate,
,je inawezekana kwa sinema kuwa mbaya zaidi kuliko hii,hate,
,hata wakati wanawake watajidhihirisha hakuna ishara ya uboreshaji mambo yanayotarajiwa sana kutokea na wakati filamu imekwisha unaweza kuwa umelala sana,hate,
,jihadharini hii sio sinema ya ibada ya kidini hii ni kipindi cha takataka,hate,
,siwezi kuamini kuwa kuna njia ijayo kwa hii,hate,
,ambayo ni kwa nini ninaipa hakiki mbaya,hate,
,mistari yake inaonekana kuwa imeandikwa na mtu wa miaka kumi na tano ingawa wanajaribu sana kusikika kama vile mtu wa miaka kumi na tano angeongea,hate,
,hakuna udhuru kwa kitu hiki ambacho hakijafanywa vizuri,hate,
,niliona sinema hii na nilidhani hii ni sinema ya kijinga,hate,
,ni nini kijinga zaidi ni kwamba ni nani aliyefikiria wazo kwamba kunapaswa kuwa na volkano huko los angeles,hate,
,ili kuwa mkweli na wewe hii ni ya upumbavu isiyo ya kushangaza na ni ujinga sana,hate,
,kwa kumalizia sitajisumbua na sinema hii kwa sababu volcano huko los angeles sio kitu lakini ni isiyo na maana,hate,
,mstari wa hadithi ni mbaya tu,hate,
,ni chungu tu,hate,
,na lafudhi ni mbaya sana,hate,
,kuna unafiki wa kutosha katika filamu hii kunifanya nitapike,hate,
,usipoteze muda wako kutazama filamu hii ya takataka ambayo haijafanywa utafiti,hate,
,ukadiriaji wangu  tu kati ya negative,hate,
,bila kujali filamu inashindwa kwa viwango vingi,hate,
,ninajua kuwa jim oconnor alikuwa na nguvu sana na kwamba hakuna mtu anayeweza kuwa kama yeye lakini george hakuwa na riba,hate,
,epuka kwa gharama zote,hate,
,siipendekezi,hate,
,sinema hii ni mbaya sana kwa akili haingeweza hata kutengenezwa,hate,
,isipokuwa tu uko kwa kukusanya filamu zote za kazi za austen unaweza kuruka hii,hate,
,si nzuri,hate,
,si ya kufurahisha,hate,
,sio nzuri,hate,
,hata kuruhusu viwango duni vya uzalishaji kwa wakati huo  na muundo aina fulani ya mfululizo wa mini hii ni mbaya,hate,
,najuta,hate,
,utajuta,hate,
,utendaji mbaya sana hucheza angela bennett mtaalam wa kompyuta ambaye yuko nyumbani wakati wote,hate,
,ni filamu isiyohusu kitu chochote kisingizio tu cha kuonyesha matukio ya kejeli,hate,
,yeye ni mbaya sana,hate,
,lakini yeye bado ni mwigizaji mbaya akirudia sura yake ya uso wa robotic katika kila moja ya picha zake,hate,
,matokeo ni aibu,hate,
,mimi ni shabiki mkubwa wa michezo ya rpg lakini sinema hii ni aibu kwa shabiki yeyote wa rpg anayejiheshimu,hate,
,hadithi hizo zilikuwa zisizoaminika kama wahusika,hate,
,mistari kupunguzwa sauti kila kitu kibaya,hate,
,unaweza kupata sinema bora kwenye youtube,hate,
,mstari wa juu usipoteze wakati wako na pesa kwenye hii ni mbaya kama inavyotokea,hate,
,sana ujinga katika kila nyanja kuwa inakuwa fujo nyepesi isiyo ya kupendeza hii ni moja ya sinema zinazosahaulika sana ambazo nimeona,hate,
,epuka epuka epuka,hate,
,itakuendesha kupiga wazimu,hate,
,hakuna kitu kipya hapo,hate,
,sinema haina hatua yoyote ndani yake na ucheshi ni mdogo sana,hate,
,maonyesho haya hayafurahishi,hate,
,nimechoka sana na nguzo ambazo ni uvivu tu kuandika na hapa wanakuja kwa nene na haraka,hate,
,kwanini filamu hii ilitengenezwa,hate,
,matokeo yake ni filamu ambayo haionekani kuwa sawa,hate,
,hakuna hata mmoja wao anayefurahisha,hate,
,the foreigner haifai sekunde moja ya wakati wako,hate,
,njama hiyo ni ya kijinga ambayo haifurahishi kwa njia yeyote,hate,
,jinsi kipande hiki cha takataka kilivyowahi kutolewa ni imenishinda uigizaji hadithi wahusika athari zinazodaiwa kuwa maalum nk zote ni mbaya,hate,
,epuka kwa gharama zote,hate,
,star trek v frontier ya mwisho ndio mbaya zaidi kwenye safu,hate,
,mahali pema tu kwa filamu hii iko kwenye takatakataka,hate,
,mbaya zaidi ya mfululizo,hate,
,nilikatishwa tamaa na kujiuliza jinsi inaweza kuwa katika orodha fupi ya oscar,hate,
,usipoteze muda wako,hate,
,ni kama sinema mbaya ya saa mbili,hate,
,bado ninajaribu kupata jinsi ilikuwa mbaya,hate,
,hii ilikuwa moja ya filamu mbaya kabisa ambayo nimewahi kuona,hate,
,kwa kweli hajui jinsi ya kutengeneza sinema ya vitendo madhubuti kutoka kwa mwandishi wa jeshi la anga ambaye alilazimika kuandika hati hiyo kwa pesa nyingi tu,hate,
,mwisho wa siku ni moja ya sinema mbaya zaidi za bajeti kubwa ambazo nimewahi kuona,hate,
,sasa fikiria kwamba kila moja ya maamuzi hayo yalifanywa vibaya,hate,
,shida ni kwamba uandishi na kuelekeza hufanya iwezekani kuanzisha vitu,hate,
,haina maana na inapoteza muda,hate,
,kwa kifupi usijiumbue na sinema hii,hate,
,pia hadithi na kaimu zilikuwa dhaifu,hate,
,karibu saa  jioni niliinunua saa  jioni nilianza kuitazama karibu saa  jioni nikasambaza haraka filamu iliyobaki ili kuona ikiwa kuna kitu chochote kilichobaki cha kutazamwa kwa mwanadamu aliye na ubongo lakini hakukuwa,hate,
,nakala ni ya kijinga,hate,
,kila kitu kapteni howdy anasema kijinga wazi tu,hate,
,filamu hii inajaribu kuwa ya kusisimua na ya kushangaza ya kutisha na inashindwa vibaya,hate,
,hii labda ni moja ya sinema zisizo na ufanisi,hate,
,kwa kiwango chochote filamu hii haipendezina sio ya kuchekesha,hate,
,epuka kwa gharama yoyote na yote,hate,
,epuka filamu hii kwa gharama zote,hate,
,sasa hii ni sinema ambayo sipendi kabisa,hate,
,sio ya kufurahisha,hate,
,vinginevyo usipoteze wakati wako kwenye hii sinema,hate,
,hii inashindwa kuunda tuhuma yoyote ya kweli,hate,
,kwa habari ya muuaji usitegemee kitu chochote cha asili au hata cha kutisha kwa mbali,hate,
,samahani lakini kwa kweli siwezi kuipendekeza kwa mtu yeyote,hate,
,mstari wa njama ya pili haueleweki,hate,
,niliichukia,hate,
,haipendezi,hate,
,hii ni moja ya sinema mbaya zaidi ya sandra bullock tangu speed  lakini sio mbaya kabisa,hate,
,sielewi jinsi takataka hii ilifika kwenye rafu za duka la sinema hata sio sinema halisi,hate,
,nina shaka sana kuwa mtu yeyote angependa takataka hii,hate,
,hii sio ya kutengeneza sinema,hate,
,kaimu ni kama kutazama vijito vya mbao vinazunguka na kusoma kutoka kwa kitabu ndivyo ilivyo mbaya,hate,
,nakubaliana na jessica sinema hii si nzuri sana,hate,
,nimeona michezo ya sabuni yenye akili zaidi kuliko sinema hii,hate,
,wahusika wabaya hadithi mbaya na kaimu mbaya,hate,
,kweli mbaya,hate,
,si rahisi kutizama,hate,
,sinema ilionekana polepole kidogo mwanzoni,hate,
,ni mbaya sana kwamba kila mtu mwingine aliyehusika hakushiriki kiwango cha kujitolea cha crowe kwa ubora kwa maana ikiwa wangefanya tungekuwa na filamu bora zaidi mikononi mwetu kuliko fujo hili ndogo,hate,
,ni dharau kwa akili ya mtu na upotezaji mkubwa wa pesa,hate,
,ila mbaya,hate,
,kwa neno moja ni aibu,hate,
,kwa bahati mbaya fadhila yoyote katika kazi ya utengenezaji wa filamu hii ilipotea kwenye hati ya kusikitisha,hate,
,bila kusema nilipoteza pesa zangu,hate,
,nilipoteza pesa na wakati,hate,
,matangazo ni ya kupotosha zaidi,hate,
,nilienda kwenye wavuti ya motorola na kufuata mwelekeo wote lakini sikuweza kuipata tena,hate,
,watu hawakuweza kunisikia nikiongea na ilibidi nikatoe earphones na kuongea kwa simu,hate,
,sikufikiria kwamba maagizo yaliyotolewa yalinisaidia,hate,
,nilimnunua mama yangu na alikuwa na shida na betri,hate,
,haiweki shati,hate,
,nina zaidi ya miaka miwili katika mkataba huu na ninachukia simu hii,hate,
,utendaji duni wa wakati wa majadiliano,hate,
,bidhaa isiyo na maana,hate,
,nasikia tu takataka za sauti,hate,
,sikuvutiwa na bidhaa hii,hate,
,nani katika akili zao sahihi ataweza kununua betri hii,hate,
,sijafurahishwa hata kidogo,hate,
,sijafurahi nayo hata kidogo,hate,
,vifungo ni mbaya,hate,
,kwa kweli unaweza kusahau msaada wa teknolojia ya microsoft,hate,
,nunua simu tofauti lakini sio hii,hate,
,lazima ushike simu kwa pembe fulani ili mtu mwingine asikie wazi,hate,
,mic haifanyi kazi,hate,
,hata katika safu yangu ya bmw  ambayo ni kimya kabisa nina shida kusikia kile mtu mwingine anasema,hate,
,usinunue kwa d kutangazwa vibaya kwa dnegative,hate,
,nilinunua hii na baada ya siku  haikufanya kazi tena,hate,
,sio biashara nzuri,hate,
,hakufanya kazi nzuri,hate,
,vifaa hivyo havikunipendeza,hate,
,sikupendezwa na vifaa hivyo,hate,
,kwa bidhaa inayogharimu sana kama hii ninatarajia ifanye kazi vizuri zaidi na kwa urahisi zaidi kuliko kitu hiki,hate,
,bidhaa hii ilifanya kazi nzuri lakini ikavunja baada ya miezi  ya matumizi,hate,
,usipoteze pesa yako,hate,
,nilipokea motorola yangu mpya inayodaiwa kuwa  na inaonekana hakukuwa na mechi kati ya simu na chaja,hate,
,huo ni dosari kubwa ya kubuni,hate,
,kamera ingawa imekadiriwa kwa megapixels zenye kuvutia  hutoa picha ambazo zinaanguka chini ya matarajio ya azimio kubwa kama hilo,hate,
,haifanyi kazi,hate,
,nilipata simu hii karibu na mwisho wa mei na sina furaha nayo,hate,
,ubora mbaya,hate,
,kimsingi huduma ilikuwa mbaya sana,hate,
,mnunuzi kuwa mwangalifu sana,hate,
,sikufurahi na kitu hiki,hate,
,simu inachukua muda mwingi kuchaji kama masaa  hadi negative,hate,
,mapokezi yake ni duni sana,hate,
,vitu vilivyosemwa kama vilivyojumuishwa kutoka kwa maelezo havijajumlishwa,hate,
,nilikuwa natarajia zaidi,hate,
,ubora wa sauti ni duni duni sana,hate,
,siwezi kamwe tena,hate,
,jumia ghana ndio mbaya kabisa,hate,
,nililipa bidhaa kisha wakanipa bandia na isiyo ya kazi,hate,
,jumia sio mwaminifu hata kidogo,hate,
,jumia sio wa kuaminika hata kidogo,hate,
,nadhani huu ni mpango wangu wa mwisho na hawa watu wasio wakubwa,hate,
,sikushauri mtu yeyote kufuata jumia nchini ghana au mahali pengine,hate,
,tafadhali usinunue kutoka kwao kwangu ni udanganyifu,hate,
,mlango huu haufunguki vizuri,hate,Keywords
,sifaulu,hate,Keywords
,hufaulu,hate,Keywords
,hafaulu,hate,Keywords
,hatufaulu,hate,Keywords
,hamfaulu,hate,Keywords
,hawafaulu,hate,Keywords
,haufaulu,hate,Keywords
,haifaulu,hate,Keywords
,hakifaulu,hate,Keywords
,havifaulu,hate,Keywords
,siji,hate,Keywords
,huji,hate,Keywords
,haji,hate,Keywords
,hatuji,hate,Keywords
,hamji,hate,Keywords
,hawaji,hate,Keywords
,hauji,hate,Keywords
,haiji,hate,Keywords
,hakiji,hate,Keywords
,haviji,hate,Keywords
,watoto hawali chakula chao,hate,
,mganga haji jumanne,hate,
,viazi vile havionekani,hate,
,kitabu hiki ni kibaya sana,hate,
,sidhani,hate,
,haendi,hate,
,kitabu hakijasomwa,hate,
,mlango haufungiki,hate,
,kisu hakikati vyema,hate,
,hawanywi,hate,
,nyinyi hamchezi kwani,hate,
